"","blank_Cy3_cyc15","blank_Cy5_cyc15","blank_Cy3_cyc16","blank_Cy5_cyc16"
"codex_1",-2159.81909179688,2000.781188964844,-1317.00146484375,-1390.21850585938
"codex_2",-139.026733398438,99.1731719970703,205.848129272461,403.930114746094
"codex_3",1263.18347167969,884.518859863281,1288.39331054688,1583.37072753906
"codex_4",1704.02978515625,563.39404296875,1578.76684570312,513.424865722656
"codex_5",1115.60705566406,579.967407226562,1081.69555664062,929.92578125
"codex_6",3000.11303710938,1017.33520507812,1181.59106445312,944.299011230469
"codex_7",295.280303955078,1093.54467773438,995.992858886719,1072.37145996094
"codex_8",5125.58984375,436.563690185547,1630.45935058594,941.838439941406
"codex_9",1013.66217041016,567.956665039062,984.934692382812,696.384948730469
"codex_10",2089.755859375,951.9990234375,1326.10766601562,778.244079589844
"codex_11",481.673706054688,1097.96081542969,506.744354248047,1025.00146484375
"codex_12",1494.52819824219,635.465454101562,1427.28979492188,747.391296386719
"codex_13",1780.97216796875,1154.65991210938,1346.97229003906,1330.08508300781
"codex_14",825.511535644531,370.457000732422,652.868530273438,808.535827636719
"codex_15",1361.11437988281,466.954528808594,1251.92309570312,1332.11511230469
"codex_16",1322.27880859375,701.582092285156,1100.75036621094,784.261535644531
"codex_17",1508.45581054688,680.195129394531,1143.64990234375,1057.01928710938
"codex_18",1174.72290039062,392.939086914062,951.384521484375,899.320678710938
"codex_19",-1541.85339355469,-160.502655029297,-78.6867370605469,-685.893676757812
"codex_20",1904.32299804688,1210.61303710938,1408.1455078125,1251.6376953125
"codex_21",807.302062988281,562.038757324219,622.833923339844,516.3994140625
"codex_22",1201.83764648438,794.493774414062,1123.64880371094,1133.72937011719
"codex_23",1288.05712890625,407.221374511719,881.969482421875,785.164611816406
"codex_24",1189.83813476562,668.417785644531,1115.36474609375,1002.81842041016
"codex_25",736.928894042969,604.688598632812,816.685974121094,764.982299804688
"codex_26",873.771179199219,643.016723632812,838.914611816406,798.182556152344
"codex_27",635.829467773438,91.5323181152344,278.337219238281,578.682678222656
"codex_28",1621.2900390625,785.782104492188,1241.81860351562,1241.49243164062
"codex_29",1506.05102539062,656.411010742188,752.541931152344,740.741882324219
"codex_30",1409.35571289062,301.195343017578,899.426208496094,775.359680175781
"codex_31",874.564758300781,872.35107421875,746.264038085938,1077.84594726562
"codex_32",4906.1806640625,2636.5830078125,3564.09252929688,3422.60107421875
"codex_33",1074.01428222656,968.267761230469,938.664733886719,1318.53259277344
"codex_34",25601.14453125,23830.091796875,18467.958984375,19828.7890625
"codex_35",1626.1787109375,551.519287109375,1154.6220703125,1416.74755859375
"codex_36",-367.08251953125,-91.6415405273438,-281.209442138672,-118.739303588867
"codex_37",161.073867797852,211.396148681641,398.627044677734,338.190612792969
"codex_38",1298.02453613281,682.5830078125,1099.09704589844,1147.60070800781
"codex_39",543.060913085938,571.350036621094,551.260375976562,1198.35180664062
"codex_40",3547.46728515625,537.131958007812,1005.46057128906,842.272216796875
