"","x","y","z"
"codex_1",12,217,9
"codex_2",9,440,9
"codex_3",13,363,9
"codex_4",4,621,9
"codex_5",9,460,7
"codex_6",23,239,7
"codex_7",23,269,6
"codex_8",29,285,9
"codex_9",21,578,9
"codex_10",29,751,6
"codex_11",30,946,8
"codex_12",7,273,9
"codex_13",7,303,7
"codex_14",25,110,9
"codex_15",1,497,10
"codex_16",38,166,9
"codex_17",39,410,8
"codex_18",12,758,9
"codex_19",22,296,10
"codex_20",37,512,9
"codex_21",37,558,8
"codex_22",16,687,9
"codex_23",34,246,9
"codex_24",38,695,6
"codex_25",46,45,10
"codex_26",49,107,9
"codex_27",17,534,9
"codex_28",34,309,8
"codex_29",17,602,6
"codex_30",45,338,9
"codex_31",49,523,6
"codex_32",53,452,9
"codex_33",59,367,8
"codex_34",56,472,9
"codex_35",41,641,9
"codex_36",52,835,11
"codex_37",45,719,7
"codex_38",19,905,10
"codex_39",35,782,8
"codex_40",62,299,8
"codex_41",73,32,11
"codex_42",17,848,8
"codex_43",48,856,7
"codex_44",47,960,9
"codex_45",71,477,6
"codex_46",77,374,9
"codex_47",28,803,11
"codex_48",84,124,9
"codex_49",83,247,9
"codex_50",28,934,8
"codex_51",66,601,8
"codex_52",68,534,8
"codex_53",79,563,8
"codex_54",78,724,8
"codex_55",89,158,9
"codex_56",68,741,11
"codex_57",87,386,8
"codex_58",84,684,8
"codex_59",83,632,8
"codex_60",76,463,9
"codex_61",95,118,9
"codex_62",96,293,6
"codex_63",93,200,8
"codex_64",93,272,11
"codex_65",102,79,8
"codex_66",100,327,10
"codex_67",76,897,9
"codex_68",79,969,11
"codex_69",97,351,9
"codex_70",69,965,8
"codex_71",97,431,10
"codex_72",104,574,7
"codex_73",85,801,7
"codex_74",103,305,9
"codex_75",105,362,9
"codex_76",89,946,9
"codex_77",116,230,10
"codex_78",116,416,7
"codex_79",98,500,9
"codex_80",114,531,9
"codex_81",81,828,9
"codex_82",109,383,6
"codex_83",110,451,9
"codex_84",115,484,10
"codex_85",103,719,11
"codex_86",111,591,9
"codex_87",98,755,8
"codex_88",128,108,10
"codex_89",113,654,7
"codex_90",100,873,10
"codex_91",122,467,9
"codex_92",127,327,6
"codex_93",115,693,10
"codex_94",132,269,9
"codex_95",106,786,6
"codex_96",131,371,6
"codex_97",141,351,9
"codex_98",120,557,8
"codex_99",147,65,9
"codex_100",136,225,6
"codex_101",147,245,9
"codex_102",137,177,8
"codex_103",144,294,11
"codex_104",129,681,10
"codex_105",137,388,11
"codex_106",129,742,8
"codex_107",130,316,8
"codex_108",133,890,10
"codex_109",146,479,11
"codex_110",148,421,9
"codex_111",126,724,10
"codex_112",142,773,7
"codex_113",146,540,9
"codex_114",147,970,7
"codex_115",134,783,8
"codex_116",131,630,9
"codex_117",141,837,8
"codex_118",157,225,8
"codex_119",154,326,9
"codex_120",150,505,9
"codex_121",121,950,9
"codex_122",150,640,9
"codex_123",150,806,9
"codex_124",160,165,10
"codex_125",161,436,7
"codex_126",160,568,7
"codex_127",149,923,7
"codex_128",171,201,9
"codex_129",174,665,9
"codex_130",162,662,7
"codex_131",171,442,9
"codex_132",174,856,10
"codex_133",179,294,7
"codex_134",154,723,8
"codex_135",163,135,9
"codex_136",159,605,9
"codex_137",170,154,8
"codex_138",165,358,8
