"","x","y","z"
"codex_1",15,221,9
"codex_2",12,444,9
"codex_3",16,367,9
"codex_4",7,625,9
"codex_5",12,464,7
"codex_6",26,243,7
"codex_7",26,273,6
"codex_8",32,289,9
"codex_9",24,582,9
"codex_10",32,755,6
"codex_11",33,950,8
"codex_12",10,277,9
"codex_13",10,307,7
"codex_14",28,114,9
"codex_15",4,501,10
"codex_16",41,170,9
"codex_17",42,414,8
"codex_18",15,762,9
"codex_19",25,300,10
"codex_20",40,516,9
"codex_21",40,562,8
"codex_22",19,691,9
"codex_23",37,250,9
"codex_24",41,699,6
"codex_25",49,49,10
"codex_26",52,111,9
"codex_27",20,538,9
"codex_28",37,313,8
"codex_29",20,606,6
"codex_30",48,342,9
"codex_31",52,527,6
"codex_32",56,456,9
"codex_33",62,371,8
"codex_34",59,476,9
"codex_35",44,645,9
"codex_36",55,839,11
"codex_37",48,723,7
"codex_38",22,909,10
"codex_39",38,786,8
"codex_40",65,303,8
"codex_41",76,36,11
"codex_42",20,852,8
"codex_43",51,860,7
"codex_44",50,964,9
"codex_45",74,481,6
"codex_46",80,378,9
"codex_47",31,807,11
"codex_48",87,128,9
"codex_49",86,251,9
"codex_50",31,938,8
"codex_51",69,605,8
"codex_52",71,538,8
"codex_53",82,567,8
"codex_54",81,728,8
"codex_55",92,162,9
"codex_56",71,745,11
"codex_57",90,390,8
"codex_58",87,688,8
"codex_59",86,636,8
"codex_60",79,467,9
"codex_61",98,122,9
"codex_62",99,297,6
"codex_63",96,204,8
"codex_64",96,276,11
"codex_65",105,83,8
"codex_66",103,331,10
"codex_67",79,901,9
"codex_68",82,973,11
"codex_69",100,355,9
"codex_70",72,969,8
"codex_71",100,435,10
"codex_72",107,578,7
"codex_73",88,805,7
"codex_74",106,309,9
"codex_75",108,366,9
"codex_76",92,950,9
"codex_77",119,234,10
"codex_78",119,420,7
"codex_79",101,504,9
"codex_80",117,535,9
"codex_81",84,832,9
"codex_82",112,387,6
"codex_83",113,455,9
"codex_84",118,488,10
"codex_85",106,723,11
"codex_86",114,595,9
"codex_87",101,759,8
"codex_88",131,112,10
"codex_89",116,658,7
"codex_90",103,877,10
"codex_91",125,471,9
"codex_92",130,331,6
"codex_93",118,697,10
"codex_94",135,273,9
"codex_95",109,790,6
"codex_96",134,375,6
"codex_97",144,355,9
"codex_98",123,561,8
"codex_99",150,69,9
"codex_100",139,229,6
"codex_101",150,249,9
"codex_102",140,181,8
"codex_103",147,298,11
"codex_104",132,685,10
"codex_105",140,392,11
"codex_106",132,746,8
"codex_107",133,320,8
"codex_108",136,894,10
"codex_109",149,483,11
"codex_110",151,425,9
"codex_111",129,728,10
"codex_112",145,777,7
"codex_113",149,544,9
"codex_114",150,974,7
"codex_115",137,787,8
"codex_116",134,634,9
"codex_117",144,841,8
"codex_118",160,229,8
"codex_119",157,330,9
"codex_120",153,509,9
"codex_121",124,954,9
"codex_122",153,644,9
"codex_123",153,810,9
"codex_124",163,169,10
"codex_125",164,440,7
"codex_126",163,572,7
"codex_127",152,927,7
"codex_128",174,205,9
"codex_129",177,669,9
"codex_130",165,666,7
"codex_131",174,446,9
"codex_132",177,860,10
"codex_133",182,298,7
"codex_134",157,727,8
"codex_135",166,139,9
"codex_136",162,609,9
"codex_137",173,158,8
"codex_138",168,362,8
"codex_139",181,262,10
"codex_140",173,379,9
"codex_141",182,895,8
"codex_142",189,315,7
"codex_143",174,937,10
"codex_144",199,27,8
"codex_145",189,670,9
"codex_146",209,16,9
"codex_147",206,271,10
"codex_148",195,418,9
"codex_149",181,617,9
"codex_150",210,142,10
"codex_151",173,707,9
"codex_152",207,515,8
"codex_153",197,546,9
"codex_154",208,357,6
"codex_155",209,394,9
"codex_156",202,526,9
"codex_157",207,839,10
"codex_158",202,578,8
"codex_159",196,108,9
"codex_160",197,745,8
"codex_161",199,788,8
"codex_162",215,165,8
"codex_163",192,806,10
"codex_164",201,215,9
"codex_165",216,442,7
"codex_166",214,505,8
"codex_167",221,224,11
"codex_168",204,297,6
"codex_169",185,828,10
"codex_170",213,684,10
"codex_171",234,173,8
"codex_172",233,113,10
"codex_173",204,861,8
"codex_174",236,321,6
"codex_175",227,305,9
"codex_176",233,345,6
"codex_177",204,930,8
"codex_178",233,419,8
"codex_179",204,952,7
"codex_180",229,278,9
"codex_181",228,469,10
"codex_182",235,719,7
"codex_183",243,141,10
"codex_184",224,705,10
"codex_185",247,38,10
"codex_186",236,829,6
"codex_187",233,984,9
"codex_188",242,657,9
"codex_189",234,732,10
"codex_190",230,623,9
"codex_191",242,784,10
"codex_192",250,223,7
"codex_193",241,866,8
"codex_194",253,340,10
"codex_195",260,15,10
"codex_196",245,436,8
"codex_197",241,901,8
"codex_198",256,369,7
"codex_199",265,129,10
"codex_200",250,505,10
"codex_201",254,270,11
"codex_202",267,151,9
"codex_203",251,541,8
"codex_204",258,716,8
"codex_205",238,932,9
"codex_206",266,477,6
"codex_207",266,516,7
"codex_208",278,154,8
"codex_209",248,629,7
"codex_210",255,613,9
"codex_211",245,812,9
"codex_212",264,554,6
"codex_213",270,106,10
"codex_214",269,418,8
"codex_215",256,980,6
"codex_216",284,99,10
"codex_217",271,398,9
"codex_218",274,504,9
"codex_219",266,636,7
"codex_220",253,960,9
"codex_221",285,177,9
"codex_222",289,17,9
"codex_223",273,492,9
"codex_224",275,731,10
"codex_225",275,814,9
"codex_226",283,369,11
"codex_227",285,575,9
"codex_228",296,243,6
"codex_229",273,872,9
"codex_230",295,179,10
"codex_231",282,783,9
"codex_232",305,37,9
"codex_233",302,128,9
"codex_234",298,326,11
"codex_235",277,909,9
"codex_236",292,456,9
"codex_237",287,752,8
"codex_238",302,199,6
"codex_239",298,535,10
"codex_240",294,844,9
"codex_241",297,556,9
"codex_242",277,972,8
"codex_243",295,763,10
"codex_244",288,695,10
"codex_245",286,653,9
"codex_246",292,937,9
"codex_247",306,364,10
"codex_248",308,215,10
"codex_249",304,613,9
"codex_250",322,330,10
"codex_251",304,695,10
"codex_252",314,444,6
"codex_253",308,412,10
"codex_254",300,775,7
"codex_255",326,318,8
"codex_256",320,524,7
"codex_257",324,441,7
"codex_258",324,491,11
"codex_259",325,161,9
"codex_260",301,819,10
"codex_261",316,888,7
"codex_262",309,987,9
"codex_263",343,20,10
"codex_264",333,624,9
"codex_265",343,108,8
"codex_266",323,658,10
"codex_267",308,598,11
"codex_268",327,377,11
"codex_269",315,862,8
"codex_270",317,804,7
"codex_271",318,913,9
"codex_272",335,410,10
"codex_273",346,299,10
"codex_274",337,515,7
"codex_275",327,457,10
"codex_276",345,451,6
"codex_277",355,25,10
"codex_278",336,358,11
"codex_279",321,732,9
"codex_280",348,485,6
"codex_281",330,710,9
"codex_282",351,348,9
"codex_283",339,781,9
"codex_284",358,232,7
"codex_285",345,681,9
"codex_286",359,72,8
"codex_287",344,899,10
"codex_288",355,165,8
"codex_289",308,969,7
"codex_290",343,551,10
"codex_291",351,600,10
"codex_292",345,951,7
"codex_293",356,383,9
"codex_294",357,393,10
"codex_295",364,273,8
"codex_296",363,128,10
"codex_297",353,977,8
"codex_298",375,11,11
"codex_299",352,655,7
"codex_300",354,857,9
"codex_301",343,747,10
"codex_302",368,339,9
"codex_303",372,492,11
"codex_304",372,692,11
"codex_305",385,239,11
"codex_306",385,287,7
"codex_307",391,111,8
"codex_308",366,429,9
"codex_309",382,255,9
"codex_310",366,461,9
"codex_311",390,156,10
"codex_312",384,395,10
"codex_313",393,61,9
"codex_314",376,314,7
"codex_315",373,726,9
"codex_316",366,804,8
"codex_317",378,539,10
"codex_318",397,12,10
"codex_319",382,422,7
"codex_320",374,880,9
"codex_321",377,897,9
"codex_322",402,162,10
"codex_323",383,563,7
"codex_324",397,212,6
"codex_325",383,589,9
"codex_326",393,436,7
"codex_327",397,371,10
"codex_328",366,942,10
"codex_329",400,498,10
"codex_330",390,456,7
"codex_331",394,467,10
"codex_332",406,240,7
"codex_333",392,183,6
"codex_334",412,107,9
"codex_335",378,862,7
"codex_336",406,433,11
"codex_337",378,966,10
"codex_338",413,16,8
"codex_339",404,820,7
"codex_340",382,780,11
"codex_341",407,279,10
"codex_342",396,947,10
"codex_343",403,851,7
"codex_344",403,896,10
"codex_345",392,644,9
"codex_346",412,409,9
"codex_347",419,56,10
"codex_348",410,307,10
"codex_349",411,566,10
"codex_350",416,366,8
"codex_351",411,692,10
"codex_352",401,719,10
"codex_353",401,748,6
"codex_354",427,132,7
"codex_355",409,539,11
"codex_356",415,220,10
"codex_357",426,230,7
"codex_358",420,465,10
"codex_359",405,776,9
"codex_360",414,632,10
"codex_361",419,604,10
"codex_362",414,747,10
"codex_363",426,497,10
"codex_364",408,837,10
"codex_365",433,389,10
"codex_366",429,519,11
"codex_367",439,239,6
"codex_368",437,296,10
"codex_369",426,869,9
"codex_370",449,60,9
"codex_371",430,805,8
"codex_372",447,213,9
"codex_373",453,156,8
"codex_374",439,281,9
"codex_375",448,341,9
"codex_376",436,475,6
"codex_377",429,728,11
"codex_378",449,486,10
"codex_379",461,241,10
"codex_380",429,943,8
"codex_381",449,743,8
"codex_382",441,849,7
"codex_383",466,75,11
"codex_384",441,918,9
"codex_385",454,522,7
"codex_386",457,685,9
"codex_387",440,708,10
"codex_388",451,592,9
"codex_389",464,104,9
"codex_390",467,450,8
"codex_391",467,502,9
"codex_392",457,714,7
"codex_393",470,274,7
"codex_394",466,376,9
"codex_395",447,636,8
"codex_396",476,82,10
"codex_397",463,623,11
"codex_398",465,671,9
"codex_399",467,748,9
"codex_400",461,819,8
"codex_401",475,399,9
"codex_402",475,537,11
"codex_403",474,318,11
"codex_404",480,352,6
"codex_405",475,596,11
"codex_406",476,178,11
"codex_407",463,771,7
"codex_408",486,59,7
"codex_409",488,387,7
"codex_410",481,215,11
"codex_411",466,978,10
"codex_412",488,420,8
"codex_413",481,332,9
"codex_414",476,553,11
"codex_415",469,709,11
"codex_416",468,926,9
"codex_417",503,67,10
"codex_418",502,97,11
"codex_419",506,238,10
"codex_420",497,292,9
"codex_421",483,751,6
"codex_422",481,884,10
"codex_423",487,989,10
"codex_424",491,770,11
"codex_425",504,173,9
"codex_426",497,689,9
"codex_427",510,359,10
"codex_428",491,835,10
"codex_429",508,261,9
"codex_430",501,623,10
"codex_431",496,860,11
"codex_432",513,434,8
"codex_433",512,387,8
"codex_434",517,120,8
"codex_435",501,885,9
"codex_436",494,708,7
"codex_437",496,947,9
"codex_438",500,471,10
"codex_439",505,543,8
"codex_440",505,554,10
"codex_441",525,94,10
"codex_442",495,802,8
"codex_443",505,731,11
"codex_444",502,921,10
"codex_445",525,198,10
"codex_446",489,730,10
"codex_447",515,467,7
"codex_448",521,305,10
"codex_449",516,579,10
"codex_450",511,613,7
"codex_451",524,491,7
"codex_452",518,637,7
"codex_453",520,799,10
"codex_454",539,216,7
"codex_455",521,696,9
"codex_456",536,270,11
"codex_457",533,397,8
"codex_458",527,468,9
"codex_459",541,359,10
"codex_460",522,981,9
"codex_461",536,541,8
"codex_462",552,62,10
"codex_463",538,329,9
"codex_464",534,722,10
"codex_465",553,25,9
"codex_466",536,625,11
"codex_467",534,959,10
"codex_468",554,95,9
"codex_469",544,878,10
"codex_470",554,263,11
"codex_471",542,700,11
"codex_472",538,757,9
"codex_473",550,157,9
"codex_474",542,797,8
"codex_475",560,115,11
"codex_476",556,428,10
"codex_477",562,201,11
"codex_478",554,581,9
"codex_479",567,145,10
"codex_480",553,292,10
"codex_481",545,849,8
"codex_482",560,472,9
"codex_483",557,670,10
"codex_484",567,223,8
"codex_485",553,711,8
"codex_486",579,117,11
"codex_487",558,627,11
"codex_488",565,732,10
"codex_489",547,973,7
"codex_490",576,321,11
"codex_491",568,532,10
"codex_492",568,561,11
"codex_493",579,442,7
"codex_494",580,294,10
"codex_495",583,508,7
"codex_496",582,190,8
"codex_497",581,358,11
"codex_498",579,550,7
"codex_499",592,12,9
"codex_500",587,391,9
"codex_501",586,262,8
"codex_502",572,784,8
"codex_503",594,190,11
"codex_504",572,888,10
"codex_505",572,960,9
"codex_506",569,996,6
"codex_507",604,224,8
"codex_508",592,586,7
"codex_509",605,263,7
"codex_510",592,743,10
"codex_511",595,642,8
"codex_512",595,680,6
"codex_513",591,693,9
"codex_514",610,312,10
"codex_515",594,543,9
"codex_516",594,611,11
"codex_517",603,416,7
"codex_518",599,852,9
"codex_519",618,145,10
"codex_520",617,372,11
"codex_521",618,236,8
"codex_522",606,455,9
"codex_523",612,477,9
"codex_524",611,338,11
"codex_525",606,767,7
"codex_526",605,972,9
"codex_527",596,954,11
"codex_528",586,921,9
"codex_529",609,707,9
"codex_530",626,295,7
"codex_531",600,937,6
"codex_532",620,771,7
"codex_533",617,654,11
"codex_534",631,388,10
"codex_535",618,844,7
"codex_536",616,802,9
"codex_537",634,334,11
"codex_538",630,723,10
"codex_539",622,581,10
"codex_540",646,143,8
"codex_541",638,496,9
"codex_542",644,156,9
"codex_543",641,122,10
"codex_544",644,459,6
"codex_545",637,858,8
"codex_546",633,693,7
"codex_547",632,557,8
"codex_548",641,517,7
"codex_549",628,954,9
"codex_550",653,790,6
"codex_551",655,345,8
"codex_552",651,755,9
"codex_553",633,827,11
"codex_554",641,710,10
"codex_555",640,723,8
"codex_556",643,882,9
"codex_557",645,629,8
"codex_558",668,206,10
"codex_559",662,397,7
"codex_560",650,922,7
"codex_561",666,454,10
"codex_562",663,624,7
"codex_563",662,687,7
"codex_564",678,179,11
"codex_565",667,560,9
"codex_566",679,310,9
"codex_567",671,468,6
"codex_568",678,427,11
"codex_569",658,660,10
"codex_570",676,584,8
"codex_571",676,746,8
"codex_572",683,159,10
"codex_573",677,530,8
"codex_574",679,510,9
"codex_575",688,361,8
"codex_576",656,972,8
"codex_577",683,373,11
"codex_578",672,818,9
"codex_579",682,485,9
"codex_580",675,736,10
"codex_581",687,719,7
"codex_582",668,870,7
"codex_583",690,242,10
"codex_584",699,133,10
"codex_585",686,621,7
"codex_586",699,284,9
"codex_587",689,845,11
"codex_588",685,326,8
"codex_589",680,662,9
"codex_590",671,994,7
"codex_591",697,204,11
"codex_592",709,157,11
"codex_593",686,793,9
"codex_594",715,74,11
"codex_595",698,708,10
"codex_596",718,64,10
"codex_597",697,768,6
"codex_598",692,998,8
"codex_599",708,409,6
"codex_600",697,873,9
"codex_601",723,131,9
"codex_602",711,576,11
"codex_603",716,367,10
"codex_604",711,650,7
"codex_605",711,676,9
"codex_606",711,742,10
"codex_607",685,911,9
"codex_608",685,933,10
"codex_609",715,768,10
"codex_610",707,513,10
"codex_611",731,53,11
"codex_612",727,496,10
"codex_613",735,36,10
"codex_614",732,264,8
"codex_615",704,930,7
"codex_616",713,603,11
"codex_617",746,174,10
"codex_618",722,839,8
"codex_619",730,753,6
"codex_620",722,950,11
"codex_621",741,600,11
"codex_622",731,852,9
"codex_623",748,234,10
"codex_624",729,920,10
"codex_625",753,46,11
"codex_626",753,109,8
"codex_627",749,386,10
"codex_628",742,663,10
"codex_629",731,905,11
"codex_630",752,303,9
"codex_631",751,409,9
"codex_632",732,802,11
"codex_633",745,541,8
"codex_634",744,622,8
"codex_635",750,520,11
"codex_636",759,453,9
"codex_637",735,633,10
"codex_638",763,580,9
"codex_639",752,728,10
"codex_640",751,767,10
"codex_641",750,807,9
"codex_642",733,981,7
"codex_643",749,960,10
"codex_644",747,927,10
"codex_645",761,884,10
"codex_646",767,259,9
"codex_647",777,204,10
"codex_648",766,375,7
"codex_649",766,541,8
"codex_650",752,907,10
"codex_651",782,152,10
"codex_652",740,1001,9
"codex_653",775,339,8
"codex_654",779,247,9
"codex_655",786,42,9
"codex_656",787,105,9
"codex_657",775,500,9
"codex_658",780,369,11
"codex_659",787,163,8
"codex_660",774,701,9
"codex_661",783,290,9
"codex_662",768,747,7
"codex_663",785,474,11
"codex_664",768,860,10
"codex_665",770,623,7
