"","B220","CD106","CD11b","CD11c","CD16.32","CD169","CD19","CD21.35","CD27","CD3","CD31","CD35","CD4","CD44","CD45","CD5","CD71","CD79b","CD8a","CD90","ERTR7","F4.80","IgD","IgM","Ly6C","Ly6G","MHCII","NKp46","TCR","Ter119"
"codex_1",1403.54345703125,3036.9384765625,330.978973388672,2565.44799804688,3627.42993164062,-286.788665771484,1245.05859375,89.4997711181641,1659.39331054688,783.750915527344,2664.78051757812,648.286376953125,7157.93505859375,4869.384765625,7513.9091796875,6629.89111328125,201.928695678711,2641.36767578125,848.65380859375,5774.25830078125,1489.45935058594,3169.796875,2429.2880859375,463.284393310547,-9.5748348236084,-6.7467885017395,3196.87622070312,505.225463867188,3305.55859375,104.068511962891
"codex_2",587.051879882812,-854.304809570312,16.3508033752441,276.51123046875,-579.770324707031,119.78687286377,-35.4366989135742,168.250244140625,-111.792007446289,251.204299926758,256.864776611328,128.222427368164,54.8300590515137,2189.13061523438,-56.7650566101074,-121.876457214355,553.304504394531,203.637451171875,231.985855102539,-80.084846496582,-2.58713793754578,41.9740715026855,93.010383605957,-29.8675994873047,-53.8915748596191,-0.275126039981842,-54.244441986084,276.926452636719,76.7695236206055,-88.9156265258789
"codex_3",646.629821777344,5265.109375,266.657623291016,2308.29125976562,3043.12548828125,558.794494628906,794.820861816406,170.893814086914,519.904724121094,333.537536621094,2160.50854492188,392.734466552734,231.637939453125,6976.81103515625,2779.81469726562,372.503936767578,2287.85375976562,856.378173828125,1328.19909667969,1867.08117675781,3533.98315429688,3350.17431640625,-127.490356445312,199.217987060547,275.005004882812,224.658813476562,954.858581542969,937.003540039062,550.123596191406,172.477355957031
"codex_4",4714.33984375,445.197875976562,257.568939208984,1346.1201171875,194.302200317383,-585.042663574219,1145.05944824219,341.178588867188,468.735412597656,-730.25390625,1158.81127929688,650.989868164062,790.535095214844,-511.595886230469,2385.76928710938,500.915069580078,2491.80712890625,4279.36328125,530.927307128906,1582.18579101562,1332.11462402344,-592.598510742188,6104.357421875,490.364929199219,-84.1995239257812,-28.1917476654053,3299.81396484375,478.019317626953,441.045196533203,478.877960205078
"codex_5",908.687744140625,828.020812988281,207.448532104492,1250.69006347656,538.524169921875,49.5357627868652,216.466613769531,237.914016723633,431.395172119141,-66.4133682250977,739.253540039062,382.717102050781,808.096618652344,2848.64770507812,747.012817382812,260.782348632812,1597.07336425781,550.299194335938,413.145751953125,898.121826171875,1157.83911132812,956.745971679688,301.646728515625,144.424407958984,110.129936218262,103.125900268555,864.733764648438,489.144683837891,347.603698730469,273.435180664062
"codex_6",1500.68823242188,11578.5966796875,157.449951171875,1569.64465332031,6777.3095703125,-1350.12255859375,1946.5859375,-251.241577148438,262.167999267578,-1690.92053222656,3240.06787109375,443.983489990234,-3948.90698242188,1675.2763671875,6462.2919921875,-3718.76489257812,-395.802856445312,3471.55786132812,-473.890197753906,1250.53540039062,-32.0973854064941,3702.7978515625,4200.2197265625,561.772033691406,-153.621337890625,-158.003967285156,5663.4658203125,679.72705078125,-615.573791503906,-337.28173828125
"codex_7",3902.35571289062,4240.00341796875,140.665054321289,985.21337890625,3102.14575195312,1174.56567382812,1693.73071289062,288.948516845703,702.967346191406,1424.33520507812,1316.56994628906,517.134826660156,480.690399169922,1235.8974609375,4609.1298828125,415.447570800781,289.773986816406,2625.41552734375,959.175354003906,1395.82275390625,565.062072753906,2655.45288085938,3833.90209960938,363.536315917969,210.552169799805,319.66357421875,-245.946014404297,148.994338989258,817.662414550781,85.7727279663086
"codex_8",881.035217285156,839.224731445312,308.181823730469,5210.7958984375,3960.94165039062,-3725.82885742188,824.959777832031,-299.463043212891,474.549194335938,-4109.30615234375,2414.73706054688,794.794677734375,-1697.60034179688,4124.9697265625,7130.0771484375,-1617.88842773438,-567.495971679688,4000.68920898438,3418.41479492188,2291.22998046875,301.607391357422,-498.682861328125,6479.7939453125,681.926635742188,-760.716857910156,-693.956420898438,11620.0205078125,891.87109375,20.096004486084,-358.094024658203
"codex_9",2641.07788085938,1547.21203613281,230.357147216797,1085.49755859375,2757.87182617188,-168.705383300781,697.089599609375,215.558074951172,111.241813659668,-352.163330078125,2120.28271484375,668.874450683594,-176.374038696289,1970.10485839844,2575.71337890625,-280.792083740234,534.390380859375,5225.88720703125,498.829681396484,1041.80834960938,699.477722167969,366.823608398438,1220.22607421875,1174.56127929688,-7.13697052001953,2.74002599716187,1901.37841796875,590.431701660156,-141.847274780273,165.258346557617
"codex_10",2993.36669921875,1716.16137695312,226.660308837891,1221.83154296875,1037.69946289062,-548.791198730469,1668.95520019531,34.099250793457,620.635009765625,-525.7685546875,1082.291015625,637.252380371094,-119.020248413086,-744.567199707031,2968.14672851562,-116.988334655762,509.519500732422,4765.34765625,371.632843017578,1699.38623046875,1093.24096679688,-739.154907226562,4243.71533203125,1087.21411132812,-20.0773601531982,-19.3161563873291,3752.19555664062,355.164916992188,763.639038085938,139.694122314453
